Mobile Names,Prices,Ratings
"Redmi 8 (Ruby Red, 64 GB)","₹9,299",4.4
"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999",4.5
"Redmi 8 (Emerald Green, 64 GB)","₹9,299",4.4
"Realme 5 (Crystal Purple, 32 GB)","₹9,999",4.5
"Realme 5 (Crystal Blue, 32 GB)","₹9,999",4.5
"Realme C2 (Diamond Blue, 32 GB)","₹7,499",4.3
"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
"Redmi 8A (Sunset Red, 32 GB)","₹7,499",4.4
"Vivo Z1Pro (Sonic Black, 128 GB)","₹16,990",4.5
"Vivo Z1Pro (Sonic Black, 64 GB)","₹13,990",4.5
"Vivo Z1Pro (Sonic Blue, 128 GB)","₹16,990",4.5
"Vivo Z1Pro (Sonic Black, 64 GB)","₹14,990",4.5
"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
"Realme 5 (Crystal Blue, 64 GB)","₹10,999",4.4
"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999",4.5
"Vivo Z1Pro (Sonic Blue, 64 GB)","₹14,990",4.5
"Vivo Z1Pro (Sonic Blue, 64 GB)","₹13,990",4.5
"POCO X2 (Atlantis Blue, 64 GB)","₹16,999",4.5
"Redmi 8A (Ocean Blue, 32 GB)","₹6,999",4.4
Lava A1,₹799,4.2
"OPPO A7 (Glaring Gold, 64 GB)","₹10,990",4.4
"Redmi Go (Black, 8 GB)","₹4,499",4.3
"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.5
